NEWID,Income Class,Education,Division,Family Type,Area Type,QINTRVMO,QINTRVYR,AGE_REF,AGE2,SEX_REF,SEX2,REF_RACE,RACE2,NUM_AUTO,NUM_TVAN,OCCUCOD1,OCCUCOD2,MARITAL1,REGION,POPSIZE,CUTENURE,VEHQ,VEHQL,FINCBTXM,INC_RANK,FAM_SIZE,CHILDAGE,PERSLT18,PERSOT64,AS_COMP1,AS_COMP2,AS_COMP3,AS_COMP4,AS_COMP5,FOODCQ,FDAWAYCQ,ALCBEVCQ,RENDWECQ,ALLFULCQ,BBYDAYCQ,TEXTILCQ,FURNTRCQ,APPARCQ,MENBOYCQ,MENSIXCQ,BOYFIFCQ,GRLFIFCQ,CHLDRNCQ,FOOTWRCQ,OTHAPLCQ,TRANSCQ,CARTKNCQ,CARTKUCQ,GASMOCQ,PUBTRACQ,ENTERTCQ,PETTOYCQ,PERSCACQ,READCQ,TOTEXPCQ
4277874,3,10,2,1,1,August,2020,65,65,2,1,1,1,0,2,,11,1,1,4,2,2,0,36919,0.4265922,2,0,0,2,1,1,0,0,0,238.3333,108.3333,140,0,0,0,0,0,0,0,0,0,0,0,0,0,496,0,0,40,0,136,20,21.6667,0,2071
4279003,7,10,4,9,1,May,2020,87,,2,,1,,0,1,,,2,2,2,1,1,0,77247.8,0.4831664,2,7,0,2,0,2,0,0,0,424.6667,43.3333,0,0,0,0,0,0,26,0,0,0,0,0,0,0,22,0,0,22,0,13,0,0,10,2014
4279004,3,10,4,9,1,August,2020,87,,2,,1,,0,1,,,2,2,2,1,1,0,42661.8,0.472945,2,7,0,2,0,2,0,0,0,498.3333,65,20,0,0,0,88,0,0,0,0,0,0,0,0,0,95,0,0,35,0,0,0,40,0,4852.6667
4279463,1,10,7,8,1,May,2020,37,,1,,1,,0,0,12,,3,3,1,2,0,0,1700,0.1003552,1,0,0,0,1,0,0,0,0,1516.6667,433.3333,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,936.6667,0,0,400,0,105,0,13.3333,0,9181.1667
4280344,3,10,,9,1,August,2020,50,,1,,1,,0,2,10,,5,,5,2,2,0,44280,0.4885697,6,4,4,0,1,1,3,1,0,498.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,120,0,56,0,0,0,1881.1667
4281964,4,10,9,1,1,August,2020,63,66,2,1,1,1,0,1,,,1,4,1,4,2,0,49478,0.5206837,2,0,0,1,1,1,0,0,0,346.6667,0,0,2200,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,100,0,0,0,0,0,3853.6667
4282804,7,10,,8,2,August,2020,59,,1,,1,,1,0,13,,4,4,5,4,1,0,24987.2,0.0270996,1,0,0,0,1,0,0,0,0,303.3333,0,0,750,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,120,0,0,0,0,0,1374.6166
4284213,2,10,7,4,1,May,2020,64,69,2,1,1,1,2,2,,11,1,3,4,2,4,0,35541.8,0.297144,3,7,0,1,1,2,0,0,0,612,178.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17608,17500,0,0,0,150,0,10,0,19271.6167
4284214,2,10,7,4,1,August,2020,64,69,2,1,1,1,1,3,,,1,3,4,2,4,0,44206.8,0.2971534,3,7,0,1,1,2,0,0,0,780,368.3333,0,0,0,0,0,0,80,0,0,0,0,0,0,0,22221.6667,21800,0,280,0,320,0,15,0,24640.4667
4284393,2,10,6,9,1,May,2020,37,,2,,2,,1,0,11,,5,3,2,4,1,0,40310.4,0.2085252,4,4,2,0,2,1,0,1,0,390,86.6667,0,1095,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,10,0,0,0,0,0,2483.1666
4284733,2,10,2,9,1,May,2020,45,,2,,1,,0,0,10,,4,1,1,4,0,0,28311.8,0.2015339,5,4,3,0,1,2,1,1,0,866.6667,0,0,1101,0,0,0,0,33.3333,0,0,0,0,0,0,33.3333,143,0,0,0,143,43,0,318.3333,0,4670.1333
4284734,2,10,2,9,1,August,2020,45,,2,,1,,0,0,,,4,1,1,4,0,0,27571.4,0.2409784,5,4,3,0,1,2,1,1,0,433.3333,0,150,1200,0,0,0,0,90,0,0,0,0,90,0,0,0,0,0,0,0,267,200,0,0,3579.45
4285693,2,10,8,3,1,May,2020,31,29,2,1,1,1,0,0,,12,1,4,2,4,0,0,25341,0.3067213,5,4,3,0,1,1,2,1,0,823.3333,0,0,850,0,0,0,0,70,0,0,0,0,70,0,0,80,0,0,80,0,0,0,0,0,2307.2333
4285694,2,10,8,3,1,August,2020,29,30,2,1,1,1,0,0,,3,1,4,2,4,0,0,17000,0.2335109,5,2,3,0,1,1,2,1,0,563.3333,0,0,895,0,0,0,0,40,0,0,0,0,40,0,0,0,0,0,0,0,16,0,0,0,2032.75
4286623,6,10,,4,2,May,2020,50,50,2,1,1,1,0,4,,11,1,2,5,2,6,0,187528.4,0.8869509,7,6,2,0,5,1,0,1,0,758.3333,216.6667,20,0,0,0,0,0,0,0,0,0,0,0,0,0,566.6667,0,0,400,166.6667,40,40,16.6667,0,4452.2289
4286624,6,10,,4,2,August,2020,50,50,2,1,1,1,0,3,,12,1,2,5,2,5,0,182238.6,0.923566,7,6,2,0,5,1,0,1,0,1098.3333,525,20,0,0,0,0,0,116,0,0,0,0,0,76,40,306.6667,0,0,200,66.6667,40,40,0,0,6102.6666
4287624,3,10,5,3,1,August,2020,37,36,1,2,1,1,2,0,12,,1,3,1,4,2,0,41000,0.4574006,5,4,3,0,1,1,2,1,0,813,173.3333,0,1675,0,0,0,0,77.6667,0,0,0,0,0,0,77.6667,1080,0,0,300,0,74,0,15,0,4312.1667
